date,page_path_and_screen_class,views,sessions,engaged_sessions,engagement_rate,average_engagement_time_per_session,conversions
2025-06-14,/,230,190,126,0.6631578947368421,60,4
2025-06-14,/precatorios,139,121,91,0.7520661157024794,234,11
2025-06-14,/precatorios/como-receber,122,182,130,0.7142857142857143,123,7
2025-06-14,/precatorios/tipos,106,99,72,0.7272727272727273,123,8
2025-06-14,/precatorios/calculadora,120,166,125,0.7530120481927711,173,7
2025-06-14,/blog,124,139,103,0.7410071942446043,151,4
2025-06-14,/blog/o-que-sao-precatorios,182,139,97,0.697841726618705,139,7
2025-06-14,/blog/direitos-precatórios,150,89,63,0.7078651685393258,247,3
2025-06-14,/blog/leis-precatorias,103,96,75,0.78125,161,6
2025-06-14,/contato,81,46,41,0.8913043478260869,276,9
2025-06-14,/sobre,51,35,25,0.7142857142857143,139,3
2025-06-14,/servicos,45,34,25,0.7352941176470589,238,10
2025-06-14,/servicos/consultoria,28,35,25,0.7142857142857143,108,3
2025-06-14,/servicos/advocacia,55,46,28,0.6086956521739131,105,3
2025-06-14,/casos-de-sucesso,34,22,15,0.6818181818181818,81,2
2025-06-14,/duvidas-frequentes,39,58,38,0.6551724137931034,141,3
2025-06-15,/,377,270,158,0.5851851851851851,47,7
2025-06-15,/precatorios,139,114,75,0.6578947368421053,236,9
2025-06-15,/precatorios/como-receber,196,133,90,0.6766917293233082,183,9
2025-06-15,/precatorios/tipos,179,146,98,0.6712328767123288,137,7
2025-06-15,/precatorios/calculadora,158,130,95,0.7307692307692307,215,8
2025-06-15,/blog,83,95,72,0.7578947368421053,206,2
2025-06-15,/blog/o-que-sao-precatorios,149,138,91,0.6594202898550725,126,11
2025-06-15,/blog/direitos-precatórios,75,76,60,0.7894736842105263,258,8
2025-06-15,/blog/leis-precatorias,65,106,80,0.7547169811320755,269,7
2025-06-15,/contato,55,69,60,0.8695652173913043,182,8
2025-06-15,/sobre,62,41,29,0.7073170731707317,103,2
2025-06-15,/servicos,67,72,55,0.7638888888888888,180,13
2025-06-15,/servicos/consultoria,55,32,21,0.65625,73,3
2025-06-15,/servicos/advocacia,56,34,21,0.6176470588235294,80,1
2025-06-15,/casos-de-sucesso,48,57,34,0.5964912280701754,106,3
2025-06-15,/duvidas-frequentes,35,23,14,0.6086956521739131,132,1
2025-06-16,/,230,295,198,0.6711864406779661,79,4
2025-06-16,/precatorios,105,158,114,0.7215189873417721,190,6
2025-06-16,/precatorios/como-receber,159,188,146,0.776595744680851,174,8
2025-06-16,/precatorios/tipos,139,95,71,0.7473684210526316,171,9
2025-06-16,/precatorios/calculadora,200,151,107,0.7086092715231788,186,10
2025-06-16,/blog,67,78,57,0.7307692307692307,236,2
2025-06-16,/blog/o-que-sao-precatorios,179,164,112,0.6829268292682927,148,6
2025-06-16,/blog/direitos-precatórios,67,155,123,0.7935483870967742,208,3
2025-06-16,/blog/leis-precatorias,56,91,64,0.7032967032967034,210,4
2025-06-16,/contato,70,48,39,0.8125,326,14
2025-06-16,/sobre,43,56,40,0.7142857142857143,84,2
2025-06-16,/servicos,39,52,42,0.8076923076923077,285,12
2025-06-16,/servicos/consultoria,28,28,17,0.6071428571428571,103,2
2025-06-16,/servicos/advocacia,41,35,22,0.6285714285714286,117,2
2025-06-16,/casos-de-sucesso,59,38,24,0.631578947368421,91,2
2025-06-16,/duvidas-frequentes,45,24,14,0.5833333333333334,129,1
2025-06-17,/,225,235,135,0.574468085106383,76,6
2025-06-17,/precatorios,117,130,102,0.7846153846153846,141,8
2025-06-17,/precatorios/como-receber,115,160,110,0.6875,220,13
2025-06-17,/precatorios/tipos,134,108,76,0.7037037037037037,213,10
2025-06-17,/precatorios/calculadora,147,150,114,0.76,139,6
2025-06-17,/blog,79,65,55,0.8461538461538461,298,5
2025-06-17,/blog/o-que-sao-precatorios,104,125,82,0.656,194,9
2025-06-17,/blog/direitos-precatórios,132,131,94,0.7175572519083969,280,3
2025-06-17,/blog/leis-precatorias,69,50,39,0.78,210,5
2025-06-17,/contato,43,46,38,0.8260869565217391,190,7
2025-06-17,/sobre,52,43,31,0.7209302325581395,86,4
2025-06-17,/servicos,64,60,48,0.8,345,14
2025-06-17,/servicos/consultoria,54,42,31,0.7380952380952381,69,1
2025-06-17,/servicos/advocacia,59,31,18,0.5806451612903226,87,3
2025-06-17,/casos-de-sucesso,28,38,28,0.7368421052631579,91,3
2025-06-17,/duvidas-frequentes,36,27,18,0.6666666666666666,129,2
2025-06-18,/,423,249,162,0.6506024096385542,80,6
2025-06-18,/precatorios,187,104,82,0.7884615384615384,137,8
2025-06-18,/precatorios/como-receber,131,118,90,0.7627118644067796,139,9
2025-06-18,/precatorios/tipos,153,188,128,0.6808510638297872,163,8
2025-06-18,/precatorios/calculadora,201,183,142,0.7759562841530054,184,10
2025-06-18,/blog,75,47,33,0.7021276595744681,258,4
2025-06-18,/blog/o-que-sao-precatorios,113,96,67,0.6979166666666666,136,11
2025-06-18,/blog/direitos-precatórios,89,70,56,0.8,291,5
2025-06-18,/blog/leis-precatorias,101,38,27,0.7105263157894737,188,5
2025-06-18,/contato,43,60,50,0.8333333333333334,217,14
2025-06-18,/sobre,37,28,18,0.6428571428571429,65,4
2025-06-18,/servicos,42,40,34,0.85,270,11
2025-06-18,/servicos/consultoria,34,37,27,0.7297297297297297,82,4
2025-06-18,/servicos/advocacia,25,31,22,0.7096774193548387,102,4
2025-06-18,/casos-de-sucesso,40,39,24,0.6153846153846154,149,1
2025-06-18,/duvidas-frequentes,45,22,16,0.7272727272727273,88,2
2025-06-19,/,427,366,217,0.592896174863388,59,6
2025-06-19,/precatorios,86,146,99,0.678082191780822,162,6
2025-06-19,/precatorios/como-receber,93,108,75,0.6944444444444444,185,7
2025-06-19,/precatorios/tipos,165,140,98,0.7,123,5
2025-06-19,/precatorios/calculadora,116,98,72,0.7346938775510204,153,5
2025-06-19,/blog,73,140,107,0.7642857142857142,230,6
2025-06-19,/blog/o-que-sao-precatorios,185,162,107,0.6604938271604939,235,10
2025-06-19,/blog/direitos-precatórios,83,87,61,0.7011494252873564,261,2
2025-06-19,/blog/leis-precatorias,117,114,91,0.7982456140350878,200,5
2025-06-19,/contato,68,39,34,0.8717948717948718,264,12
2025-06-19,/sobre,33,42,28,0.6666666666666666,145,4
2025-06-19,/servicos,66,66,56,0.8484848484848485,321,10
2025-06-19,/servicos/consultoria,31,41,28,0.6829268292682927,108,2
2025-06-19,/servicos/advocacia,43,47,31,0.6595744680851063,60,3
2025-06-19,/casos-de-sucesso,35,29,19,0.6551724137931034,134,3
2025-06-19,/duvidas-frequentes,61,56,37,0.6607142857142857,87,5
2025-06-20,/,342,288,170,0.5902777777777778,87,7
2025-06-20,/precatorios,110,119,89,0.7478991596638656,148,11
2025-06-20,/precatorios/como-receber,115,100,65,0.65,151,8
2025-06-20,/precatorios/tipos,168,93,67,0.7204301075268817,233,10
2025-06-20,/precatorios/calculadora,195,129,97,0.751937984496124,169,10
2025-06-20,/blog,116,87,62,0.7126436781609196,151,3
2025-06-20,/blog/o-que-sao-precatorios,207,149,101,0.6778523489932886,222,11
2025-06-20,/blog/direitos-precatórios,128,114,81,0.7105263157894737,213,3
2025-06-20,/blog/leis-precatorias,101,58,47,0.8103448275862069,285,6
2025-06-20,/contato,65,68,57,0.8382352941176471,309,15
2025-06-20,/sobre,48,41,30,0.7317073170731707,120,4
2025-06-20,/servicos,63,56,49,0.875,250,16
2025-06-20,/servicos/consultoria,35,35,23,0.6571428571428571,96,2
2025-06-20,/servicos/advocacia,47,49,31,0.6326530612244898,129,2
2025-06-20,/casos-de-sucesso,28,27,17,0.6296296296296297,148,2
2025-06-20,/duvidas-frequentes,34,23,15,0.6521739130434783,102,4
2025-06-21,/,302,204,118,0.5784313725490197,71,5
2025-06-21,/precatorios,169,140,110,0.7857142857142857,122,10
2025-06-21,/precatorios/como-receber,164,135,96,0.7111111111111111,120,7
2025-06-21,/precatorios/tipos,148,150,116,0.7733333333333333,226,9
2025-06-21,/precatorios/calculadora,187,177,136,0.768361581920904,234,8
2025-06-21,/blog,93,60,44,0.7333333333333333,274,2
2025-06-21,/blog/o-que-sao-precatorios,165,147,110,0.7482993197278912,222,9
2025-06-21,/blog/direitos-precatórios,157,72,60,0.8333333333333334,182,7
2025-06-21,/blog/leis-precatorias,96,39,32,0.8205128205128205,294,6
2025-06-21,/contato,34,33,28,0.8484848484848485,214,12
2025-06-21,/sobre,40,28,17,0.6071428571428571,101,3
2025-06-21,/servicos,69,55,44,0.8,277,11
2025-06-21,/servicos/consultoria,42,31,22,0.7096774193548387,120,1
2025-06-21,/servicos/advocacia,50,21,16,0.7619047619047619,104,2
2025-06-21,/casos-de-sucesso,26,22,15,0.6818181818181818,91,2
2025-06-21,/duvidas-frequentes,21,26,16,0.6153846153846154,120,1
2025-06-22,/,420,299,185,0.6187290969899666,61,6
2025-06-22,/precatorios,133,184,136,0.7391304347826086,215,12
2025-06-22,/precatorios/como-receber,127,122,97,0.7950819672131147,133,11
2025-06-22,/precatorios/tipos,120,151,110,0.7284768211920529,236,10
2025-06-22,/precatorios/calculadora,132,101,67,0.6633663366336634,208,11
2025-06-22,/blog,150,88,62,0.7045454545454546,227,8
2025-06-22,/blog/o-que-sao-precatorios,154,91,70,0.7692307692307693,192,10
2025-06-22,/blog/direitos-precatórios,51,83,64,0.7710843373493976,244,2
2025-06-22,/blog/leis-precatorias,95,106,79,0.7452830188679245,257,5
2025-06-22,/contato,52,71,63,0.8873239436619719,342,16
2025-06-22,/sobre,40,58,36,0.6206896551724138,126,4
2025-06-22,/servicos,87,77,63,0.8181818181818182,331,13
2025-06-22,/servicos/consultoria,42,35,25,0.7142857142857143,71,3
2025-06-22,/servicos/advocacia,46,32,23,0.71875,132,3
2025-06-22,/casos-de-sucesso,46,24,16,0.6666666666666666,101,2
2025-06-22,/duvidas-frequentes,61,39,25,0.6410256410256411,93,4
2025-06-23,/,288,264,167,0.6325757575757576,78,4
2025-06-23,/precatorios,113,123,93,0.7560975609756098,182,10
2025-06-23,/precatorios/como-receber,165,101,75,0.7425742574257426,202,9
2025-06-23,/precatorios/tipos,167,151,116,0.7682119205298014,131,8
2025-06-23,/precatorios/calculadora,103,113,85,0.7522123893805309,159,8
2025-06-23,/blog,109,81,62,0.7654320987654321,285,4
2025-06-23,/blog/o-que-sao-precatorios,134,140,97,0.6928571428571428,209,8
2025-06-23,/blog/direitos-precatórios,77,76,56,0.7368421052631579,180,3
2025-06-23,/blog/leis-precatorias,104,69,56,0.8115942028985508,197,4
2025-06-23,/contato,54,66,52,0.7878787878787878,330,12
2025-06-23,/sobre,36,41,26,0.6341463414634146,106,2
2025-06-23,/servicos,49,29,25,0.8620689655172413,212,9
2025-06-23,/servicos/consultoria,24,22,15,0.6818181818181818,149,2
2025-06-23,/servicos/advocacia,56,29,21,0.7241379310344828,133,3
2025-06-23,/casos-de-sucesso,59,57,37,0.6491228070175439,83,1
2025-06-23,/duvidas-frequentes,38,50,30,0.6,68,4
2025-06-24,/,388,252,160,0.6349206349206349,88,4
2025-06-24,/precatorios,116,106,81,0.7641509433962265,158,6
2025-06-24,/precatorios/como-receber,155,124,91,0.7338709677419355,173,12
2025-06-24,/precatorios/tipos,153,147,100,0.6802721088435374,186,7
2025-06-24,/precatorios/calculadora,148,137,95,0.6934306569343066,195,8
2025-06-24,/blog,84,111,88,0.7927927927927928,175,3
2025-06-24,/blog/o-que-sao-precatorios,159,103,71,0.6893203883495146,130,6
2025-06-24,/blog/direitos-precatórios,71,59,46,0.7796610169491526,190,2
2025-06-24,/blog/leis-precatorias,86,86,69,0.8023255813953488,270,3
2025-06-24,/contato,50,59,46,0.7796610169491526,252,17
2025-06-24,/sobre,25,31,22,0.7096774193548387,140,2
2025-06-24,/servicos,56,35,29,0.8285714285714286,345,8
2025-06-24,/servicos/consultoria,35,26,16,0.6153846153846154,81,2
2025-06-24,/servicos/advocacia,47,55,34,0.6181818181818182,148,3
2025-06-24,/casos-de-sucesso,54,42,28,0.6666666666666666,123,5
2025-06-24,/duvidas-frequentes,30,25,18,0.72,101,3
2025-06-25,/,209,202,117,0.5792079207920792,88,3
2025-06-25,/precatorios,183,115,84,0.7304347826086957,217,11
2025-06-25,/precatorios/como-receber,103,126,92,0.7301587301587301,176,6
2025-06-25,/precatorios/tipos,112,150,107,0.7133333333333334,224,8
2025-06-25,/precatorios/calculadora,115,156,109,0.6987179487179487,162,8
2025-06-25,/blog,125,53,44,0.8301886792452831,234,5
2025-06-25,/blog/o-que-sao-precatorios,224,182,126,0.6923076923076923,240,10
2025-06-25,/blog/direitos-precatórios,143,112,79,0.7053571428571429,172,4
2025-06-25,/blog/leis-precatorias,83,87,62,0.7126436781609196,253,6
2025-06-25,/contato,36,63,51,0.8095238095238095,193,9
2025-06-25,/sobre,66,51,35,0.6862745098039216,123,5
2025-06-25,/servicos,37,42,32,0.7619047619047619,213,10
2025-06-25,/servicos/consultoria,43,44,27,0.6136363636363636,140,2
2025-06-25,/servicos/advocacia,39,47,32,0.6808510638297872,130,5
2025-06-25,/casos-de-sucesso,30,36,26,0.7222222222222222,74,4
2025-06-25,/duvidas-frequentes,34,34,23,0.6764705882352942,97,3
2025-06-26,/,310,303,211,0.6963696369636964,60,6
2025-06-26,/precatorios,204,130,91,0.7,237,12
2025-06-26,/precatorios/como-receber,164,106,82,0.7735849056603774,155,11
2025-06-26,/precatorios/tipos,128,112,88,0.7857142857142857,184,6
2025-06-26,/precatorios/calculadora,97,122,93,0.7622950819672131,227,10
2025-06-26,/blog,131,137,105,0.7664233576642335,188,6
2025-06-26,/blog/o-que-sao-precatorios,140,126,88,0.6984126984126984,190,10
2025-06-26,/blog/direitos-precatórios,102,79,60,0.759493670886076,232,3
2025-06-26,/blog/leis-precatorias,133,72,56,0.7777777777777778,209,5
2025-06-26,/contato,44,56,48,0.8571428571428571,277,13
2025-06-26,/sobre,29,45,33,0.7333333333333333,76,3
2025-06-26,/servicos,53,73,56,0.7671232876712328,296,8
2025-06-26,/servicos/consultoria,40,57,41,0.7192982456140351,79,2
2025-06-26,/servicos/advocacia,45,32,20,0.625,148,3
2025-06-26,/casos-de-sucesso,35,51,37,0.7254901960784313,128,5
2025-06-26,/duvidas-frequentes,42,50,36,0.72,64,1
2025-06-27,/,321,309,216,0.6990291262135923,50,7
2025-06-27,/precatorios,134,204,154,0.7549019607843137,132,11
2025-06-27,/precatorios/como-receber,102,108,85,0.7870370370370371,125,7
2025-06-27,/precatorios/tipos,121,144,101,0.7013888888888888,175,7
2025-06-27,/precatorios/calculadora,142,171,122,0.7134502923976608,207,13
2025-06-27,/blog,66,60,43,0.7166666666666667,247,6
2025-06-27,/blog/o-que-sao-precatorios,202,130,94,0.7230769230769231,194,7
2025-06-27,/blog/direitos-precatórios,82,107,85,0.794392523364486,267,4
2025-06-27,/blog/leis-precatorias,122,41,34,0.8292682926829268,269,4
2025-06-27,/contato,83,50,37,0.74,268,13
2025-06-27,/sobre,54,40,26,0.65,98,3
2025-06-27,/servicos,61,62,48,0.7741935483870968,277,12
2025-06-27,/servicos/consultoria,43,40,24,0.6,144,4
2025-06-27,/servicos/advocacia,44,23,16,0.6956521739130435,147,1
2025-06-27,/casos-de-sucesso,54,38,27,0.7105263157894737,89,3
2025-06-27,/duvidas-frequentes,38,34,23,0.6764705882352942,146,2
2025-06-28,/,250,214,127,0.5934579439252337,73,3
2025-06-28,/precatorios,192,151,114,0.7549668874172185,131,8
2025-06-28,/precatorios/como-receber,119,120,81,0.675,136,10
2025-06-28,/precatorios/tipos,152,122,89,0.7295081967213115,236,7
2025-06-28,/precatorios/calculadora,120,122,95,0.7786885245901639,240,9
2025-06-28,/blog,91,92,75,0.8152173913043478,269,3
2025-06-28,/blog/o-que-sao-precatorios,100,101,78,0.7722772277227723,212,9
2025-06-28,/blog/direitos-precatórios,84,97,73,0.7525773195876289,251,2
2025-06-28,/blog/leis-precatorias,68,93,66,0.7096774193548387,244,6
2025-06-28,/contato,46,48,42,0.875,275,7
2025-06-28,/sobre,42,56,33,0.5892857142857143,131,4
2025-06-28,/servicos,64,46,38,0.8260869565217391,298,14
2025-06-28,/servicos/consultoria,48,28,17,0.6071428571428571,64,3
2025-06-28,/servicos/advocacia,60,31,19,0.6129032258064516,128,2
2025-06-28,/casos-de-sucesso,42,44,28,0.6363636363636364,149,3
2025-06-28,/duvidas-frequentes,36,51,35,0.6862745098039216,122,4
2025-06-29,/,269,195,127,0.6512820512820513,58,6
2025-06-29,/precatorios,129,99,77,0.7777777777777778,132,9
2025-06-29,/precatorios/como-receber,161,175,137,0.7828571428571428,202,9
2025-06-29,/precatorios/tipos,119,155,107,0.6903225806451613,135,13
2025-06-29,/precatorios/calculadora,176,113,84,0.7433628318584071,202,12
2025-06-29,/blog,110,41,29,0.7073170731707317,235,3
2025-06-29,/blog/o-que-sao-precatorios,123,172,117,0.6802325581395349,226,12
2025-06-29,/blog/direitos-precatórios,120,71,55,0.7746478873239436,209,4
2025-06-29,/blog/leis-precatorias,134,57,46,0.8070175438596491,150,4
2025-06-29,/contato,45,40,33,0.825,224,8
2025-06-29,/sobre,30,34,20,0.5882352941176471,90,4
2025-06-29,/servicos,41,46,36,0.782608695652174,212,14
2025-06-29,/servicos/consultoria,69,34,24,0.7058823529411765,120,5
2025-06-29,/servicos/advocacia,39,44,30,0.6818181818181818,117,2
2025-06-29,/casos-de-sucesso,26,40,26,0.65,63,1
2025-06-29,/duvidas-frequentes,64,55,36,0.6545454545454545,73,5
2025-06-30,/,346,232,158,0.6810344827586207,65,4
2025-06-30,/precatorios,99,98,67,0.6836734693877551,201,9
2025-06-30,/precatorios/como-receber,161,124,87,0.7016129032258065,196,9
2025-06-30,/precatorios/tipos,135,145,105,0.7241379310344828,175,6
2025-06-30,/precatorios/calculadora,154,84,65,0.7738095238095238,203,9
2025-06-30,/blog,123,140,116,0.8285714285714286,260,6
2025-06-30,/blog/o-que-sao-precatorios,147,163,113,0.6932515337423313,178,10
2025-06-30,/blog/direitos-precatórios,94,127,90,0.7086614173228346,259,4
2025-06-30,/blog/leis-precatorias,146,83,63,0.7590361445783133,189,8
2025-06-30,/contato,69,38,29,0.7631578947368421,201,8
2025-06-30,/sobre,44,24,17,0.7083333333333334,107,2
2025-06-30,/servicos,47,60,51,0.85,285,14
2025-06-30,/servicos/consultoria,51,25,18,0.72,136,3
2025-06-30,/servicos/advocacia,40,24,16,0.6666666666666666,87,2
2025-06-30,/casos-de-sucesso,59,39,28,0.717948717948718,104,4
2025-06-30,/duvidas-frequentes,34,42,28,0.6666666666666666,114,1
2025-07-01,/,341,249,143,0.5742971887550201,89,6
2025-07-01,/precatorios,147,138,90,0.6521739130434783,231,7
2025-07-01,/precatorios/como-receber,170,172,122,0.7093023255813954,138,11
2025-07-01,/precatorios/tipos,206,106,70,0.660377358490566,187,8
2025-07-01,/precatorios/calculadora,148,143,103,0.7202797202797203,140,8
2025-07-01,/blog,85,131,98,0.7480916030534351,295,6
2025-07-01,/blog/o-que-sao-precatorios,110,96,64,0.6666666666666666,216,10
2025-07-01,/blog/direitos-precatórios,66,155,110,0.7096774193548387,263,8
2025-07-01,/blog/leis-precatorias,108,112,88,0.7857142857142857,256,4
2025-07-01,/contato,50,63,48,0.7619047619047619,290,8
2025-07-01,/sobre,51,63,42,0.6666666666666666,99,1
2025-07-01,/servicos,50,55,49,0.8909090909090909,194,6
2025-07-01,/servicos/consultoria,30,33,24,0.7272727272727273,77,2
2025-07-01,/servicos/advocacia,35,35,21,0.6,123,3
2025-07-01,/casos-de-sucesso,40,34,22,0.6470588235294118,150,3
2025-07-01,/duvidas-frequentes,53,42,25,0.5952380952380952,65,4
2025-07-02,/,279,375,258,0.688,65,7
2025-07-02,/precatorios,140,114,86,0.7543859649122807,173,6
2025-07-02,/precatorios/como-receber,132,163,106,0.6503067484662577,161,8
2025-07-02,/precatorios/tipos,167,139,107,0.7697841726618705,237,7
2025-07-02,/precatorios/calculadora,93,122,94,0.7704918032786885,151,7
2025-07-02,/blog,117,90,69,0.7666666666666667,251,4
2025-07-02,/blog/o-que-sao-precatorios,183,125,85,0.68,219,6
2025-07-02,/blog/direitos-precatórios,55,103,81,0.7864077669902912,285,6
2025-07-02,/blog/leis-precatorias,79,95,71,0.7473684210526316,187,4
2025-07-02,/contato,41,39,31,0.7948717948717948,224,8
2025-07-02,/sobre,31,35,25,0.7142857142857143,140,5
2025-07-02,/servicos,72,65,55,0.8461538461538461,324,12
2025-07-02,/servicos/consultoria,52,37,24,0.6486486486486487,120,5
2025-07-02,/servicos/advocacia,36,33,22,0.6666666666666666,105,1
2025-07-02,/casos-de-sucesso,41,47,31,0.6595744680851063,67,3
2025-07-02,/duvidas-frequentes,40,25,17,0.68,71,4
2025-07-03,/,297,301,190,0.6312292358803987,47,6
2025-07-03,/precatorios,160,160,108,0.675,197,8
2025-07-03,/precatorios/como-receber,161,107,85,0.794392523364486,177,6
2025-07-03,/precatorios/tipos,164,115,83,0.7217391304347827,142,6
2025-07-03,/precatorios/calculadora,135,149,119,0.7986577181208053,187,10
2025-07-03,/blog,148,75,56,0.7466666666666667,222,6
2025-07-03,/blog/o-que-sao-precatorios,137,120,90,0.75,126,10
2025-07-03,/blog/direitos-precatórios,140,137,102,0.7445255474452555,234,3
2025-07-03,/blog/leis-precatorias,125,136,103,0.7573529411764706,214,7
2025-07-03,/contato,59,66,50,0.7575757575757576,349,11
2025-07-03,/sobre,44,39,29,0.7435897435897436,149,4
2025-07-03,/servicos,45,38,30,0.7894736842105263,276,11
2025-07-03,/servicos/consultoria,33,28,20,0.7142857142857143,114,4
2025-07-03,/servicos/advocacia,29,51,32,0.6274509803921569,87,4
2025-07-03,/casos-de-sucesso,47,28,18,0.6428571428571429,77,2
2025-07-03,/duvidas-frequentes,31,43,31,0.7209302325581395,72,1
2025-07-04,/,313,241,154,0.6390041493775933,54,4
2025-07-04,/precatorios,123,169,130,0.7692307692307693,141,11
2025-07-04,/precatorios/como-receber,172,105,74,0.7047619047619048,206,12
2025-07-04,/precatorios/tipos,121,137,101,0.7372262773722628,216,10
2025-07-04,/precatorios/calculadora,209,153,105,0.6862745098039216,150,8
2025-07-04,/blog,141,99,82,0.8282828282828283,199,4
2025-07-04,/blog/o-que-sao-precatorios,181,158,126,0.7974683544303798,179,11
2025-07-04,/blog/direitos-precatórios,85,93,72,0.7741935483870968,257,3
2025-07-04,/blog/leis-precatorias,85,138,99,0.717391304347826,214,2
2025-07-04,/contato,78,65,54,0.8307692307692308,206,10
2025-07-04,/sobre,48,31,22,0.7096774193548387,94,5
2025-07-04,/servicos,73,44,38,0.8636363636363636,203,11
2025-07-04,/servicos/consultoria,48,40,29,0.725,113,1
2025-07-04,/servicos/advocacia,40,44,29,0.6590909090909091,109,1
2025-07-04,/casos-de-sucesso,58,43,26,0.6046511627906976,72,4
2025-07-04,/duvidas-frequentes,32,29,17,0.5862068965517241,120,2
2025-07-05,/,329,302,194,0.6423841059602649,50,3
2025-07-05,/precatorios,145,128,99,0.7734375,190,12
2025-07-05,/precatorios/como-receber,148,131,93,0.7099236641221374,219,6
2025-07-05,/precatorios/tipos,147,146,97,0.6643835616438356,150,10
2025-07-05,/precatorios/calculadora,152,142,101,0.7112676056338029,134,10
2025-07-05,/blog,106,113,87,0.7699115044247787,281,6
2025-07-05,/blog/o-que-sao-precatorios,107,89,61,0.6853932584269663,120,8
2025-07-05,/blog/direitos-precatórios,106,84,66,0.7857142857142857,197,8
2025-07-05,/blog/leis-precatorias,134,54,42,0.7777777777777778,242,2
2025-07-05,/contato,64,61,50,0.819672131147541,309,6
2025-07-05,/sobre,55,58,35,0.603448275862069,109,4
2025-07-05,/servicos,59,38,30,0.7894736842105263,197,13
2025-07-05,/servicos/consultoria,36,26,18,0.6923076923076923,102,2
2025-07-05,/servicos/advocacia,30,50,34,0.68,142,2
2025-07-05,/casos-de-sucesso,53,51,35,0.6862745098039216,77,1
2025-07-05,/duvidas-frequentes,54,24,15,0.625,65,3
2025-07-06,/,229,268,185,0.6902985074626866,77,6
2025-07-06,/precatorios,162,144,99,0.6875,216,10
2025-07-06,/precatorios/como-receber,130,132,92,0.696969696969697,219,6
2025-07-06,/precatorios/tipos,180,129,89,0.689922480620155,222,8
2025-07-06,/precatorios/calculadora,171,155,118,0.7612903225806451,234,9
2025-07-06,/blog,81,59,46,0.7796610169491526,277,4
2025-07-06,/blog/o-que-sao-precatorios,134,100,77,0.77,213,7
2025-07-06,/blog/direitos-precatórios,64,108,85,0.7870370370370371,196,7
2025-07-06,/blog/leis-precatorias,100,98,70,0.7142857142857143,233,8
